epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4939,2.70619,6.67381,3.12735,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,21.498,2.74908,3.32446,3.24458,0,0,0,0,nan,nan,nan,0.0558903,0.0048903,0.0048903
3,33.1319,2.58208,3.04397,3.04733,0,0,0,0,nan,nan,nan,0.0333707,0.0073707,0.0073707
4,44.3539,2.5133,2.80302,3.02932,0,0,0,0,nan,nan,nan,0.0108412,0.00984119,0.00984119
5,55.7245,2.414,2.6058,2.92787,0,0,0,0,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,66.9919,2.37555,2.53406,2.87198,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
7,78.5049,2.27149,2.46321,2.7977,0.51145,0.115,0.00499,0.00087,2.696,97.5723,3.70538,0.0098812,0.0098812,0.0098812
8,90.1107,2.17998,2.40026,2.75213,0.50006,0.015,3e-05,0,5.0286,291.047,10.0427,0.0098614,0.0098614,0.0098614
9,100.812,2.14696,2.21046,2.69597,0.57735,0.33032,0.13369,0.0489,1.98721,3.90206,3.00741,0.0098416,0.0098416,0.0098416
10,112.134,2.13126,2.12353,2.65765,0.58222,0.11,0.0374,0.00918,3.17412,5.24494,4.65437,0.0098218,0.0098218,0.0098218
11,122.812,2.04961,2.05472,2.56038,0.34111,0.1825,0.19731,0.08375,2.39098,4.17506,3.41448,0.009802,0.009802,0.009802
12,134.077,2.01062,1.92694,2.56871,0.58057,0.08,0.04362,0.00934,2.95094,4.22605,3.92708,0.0097822,0.0097822,0.0097822
13,144.701,1.93329,1.83418,2.50516,0.78185,0.265,0.31916,0.14073,1.96449,2.27096,2.94988,0.0097624,0.0097624,0.0097624
14,156.043,1.89219,1.74834,2.48517,0.664,0.39782,0.28398,0.11057,1.77886,3.46547,2.87462,0.0097426,0.0097426,0.0097426
15,166.897,1.89862,1.73109,2.45923,0.79923,0.39,0.46051,0.20799,1.98839,3.82926,3.08967,0.0097228,0.0097228,0.0097228
16,178.123,1.77105,1.57419,2.419,0.40431,0.71,0.55314,0.23081,1.67167,3.56999,2.89221,0.009703,0.009703,0.009703
17,189.419,1.77527,1.49197,2.34077,0.95903,0.295,0.34805,0.18742,2.05354,2.98854,3.16898,0.0096832,0.0096832,0.0096832
18,200.006,1.69172,1.41364,2.33528,0.85003,0.38,0.44393,0.18597,2.0618,2.04262,3.34832,0.0096634,0.0096634,0.0096634
19,210.639,1.72509,1.44017,2.31,0.36984,0.92,0.70565,0.35789,1.55821,1.48739,2.71539,0.0096436,0.0096436,0.0096436
20,222.023,1.72214,1.46402,2.33008,0.28915,0.555,0.4359,0.21772,1.94959,1.88396,3.04846,0.0096238,0.0096238,0.0096238
21,232.727,1.75424,1.45544,2.35255,0.88303,0.27836,0.30909,0.15957,2.94587,3.86929,3.92099,0.009604,0.009604,0.009604
22,243.388,1.6448,1.35688,2.26201,0.50641,0.64775,0.59302,0.31,1.7453,2.13204,2.8968,0.0095842,0.0095842,0.0095842
23,254.138,1.57392,1.27155,2.20544,0.94854,0.47,0.64945,0.41145,1.27847,1.49411,2.53273,0.0095644,0.0095644,0.0095644
24,265.523,1.62174,1.27934,2.18871,0.94935,0.4879,0.69393,0.42583,1.37096,1.94515,2.57,0.0095446,0.0095446,0.0095446
25,276.714,1.57118,1.27277,2.17871,0.51943,0.815,0.67455,0.40994,1.55878,1.32496,2.74199,0.0095248,0.0095248,0.0095248
26,287.463,1.51811,1.17686,2.12043,0.48084,0.75628,0.71666,0.42038,1.50296,1.22169,2.59155,0.009505,0.009505,0.009505
27,298.118,1.51106,1.17511,2.09555,0.54078,0.795,0.83025,0.43374,1.4358,1.34865,2.56308,0.0094852,0.0094852,0.0094852
28,309.453,1.53258,1.17792,2.1321,0.63549,0.675,0.72088,0.31006,1.98953,1.56269,3.32016,0.0094654,0.0094654,0.0094654
29,320.114,1.53608,1.14662,2.10657,0.96087,0.485,0.58013,0.34835,1.55745,2.31778,2.69889,0.0094456,0.0094456,0.0094456
30,330.797,1.50848,1.11069,2.10417,0.89676,0.646,0.89237,0.53137,1.41922,1.38401,2.55154,0.0094258,0.0094258,0.0094258
31,341.989,1.46006,1.10792,2.04548,0.68407,0.69472,0.77117,0.46115,1.46719,1.51235,2.59195,0.009406,0.009406,0.009406
32,352.892,1.46302,1.08874,2.0351,0.55467,0.74,0.69574,0.36846,1.67356,1.77895,2.85847,0.0093862,0.0093862,0.0093862
33,363.595,1.37253,1.03432,1.98329,0.665,0.65942,0.73043,0.40714,1.62531,1.621,2.71115,0.0093664,0.0093664,0.0093664
34,374.293,1.44172,1.05456,2.03728,0.78751,0.62645,0.74667,0.33557,2.11704,1.57247,3.46512,0.0093466,0.0093466,0.0093466
35,384.961,1.39011,1.05692,2.03088,0.83445,0.725,0.77624,0.4039,1.75647,1.49924,2.96547,0.0093268,0.0093268,0.0093268
36,395.716,1.39921,1.07224,2.00891,0.68333,0.42,0.4813,0.25479,1.96879,2.65729,3.0832,0.009307,0.009307,0.009307
37,406.332,1.32383,0.96452,1.89588,0.76235,0.66183,0.74671,0.44243,1.53201,1.68455,2.61435,0.0092872,0.0092872,0.0092872
38,416.973,1.32581,0.98303,1.9342,0.80577,0.77294,0.83661,0.51084,1.32705,1.17805,2.5168,0.0092674,0.0092674,0.0092674
