epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95339,2.92603,4.37049,3.31049,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,20.3849,2.86423,3.28375,3.24606,0,0,0,0,nan,nan,nan,0.0405869,0.00658693,0.00658693
3,30.7914,2.66696,3.11594,3.09627,0,0,0,0,nan,nan,nan,0.0105607,0.009894,0.009894
4,41.5283,2.61151,3.00473,3.02279,0,0,0,0,nan,nan,nan,0.0099406,0.0099406,0.0099406
5,52.3624,2.50988,2.64824,2.90977,0.06094,0.015,0.00123,0.00044,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,63.5488,2.47311,2.46294,2.87564,0.00827,0.35,0.00599,0.00108,nan,nan,nan,0.009901,0.009901,0.009901
7,74.7572,2.383,2.29281,2.78218,0.04923,0.84,0.09005,0.03116,2.13582,46.2623,5.90192,0.0098812,0.0098812,0.0098812
8,86.3247,2.33144,2.26042,2.7602,0.07992,0.375,0.07412,0.02276,2.79592,4.37953,3.8264,0.0098614,0.0098614,0.0098614
9,96.776,2.27571,2.16171,2.70053,0.23635,0.745,0.30017,0.10645,1.91681,4.51911,2.88407,0.0098416,0.0098416,0.0098416
10,107.944,2.21458,2.05583,2.67727,0.28898,0.415,0.36913,0.16895,2.01597,2.03944,2.81723,0.0098218,0.0098218,0.0098218
11,119.087,2.16695,1.95166,2.62864,0.32828,0.825,0.66978,0.26342,1.88403,1.94,2.70193,0.009802,0.009802,0.009802
12,130.508,2.14215,1.90717,2.62005,0.86346,0.425,0.54019,0.1755,2.19286,1.91686,2.84047,0.0097822,0.0097822,0.0097822
13,140.98,2.09106,1.82067,2.57616,0.34335,0.65,0.42911,0.1584,1.75876,2.67248,2.63689,0.0097624,0.0097624,0.0097624
14,151.518,2.06179,1.73426,2.55013,0.423,0.485,0.4026,0.11938,2.57415,2.23016,3.5684,0.0097426,0.0097426,0.0097426
15,161.945,2.04018,1.74472,2.55567,0.92333,0.27609,0.36381,0.14724,2.39048,2.57635,3.32927,0.0097228,0.0097228,0.0097228
16,172.412,1.94786,1.69244,2.48634,0.50483,0.71504,0.59045,0.26814,1.88173,1.63267,2.68806,0.009703,0.009703,0.009703
17,182.744,1.97006,1.56955,2.45247,0.48051,0.81,0.64946,0.23537,1.84297,2.4577,2.69662,0.0096832,0.0096832,0.0096832
18,193.164,1.94521,1.59423,2.4554,0.23119,0.53361,0.26447,0.09184,1.84454,2.97272,2.79459,0.0096634,0.0096634,0.0096634
19,203.509,1.90979,1.51728,2.40748,0.94662,0.41837,0.59565,0.23627,2.04549,2.07456,2.96736,0.0096436,0.0096436,0.0096436
20,213.862,1.89477,1.56768,2.43015,0.7026,0.69903,0.70347,0.34255,1.62157,1.80559,2.60207,0.0096238,0.0096238,0.0096238
21,225.155,1.76044,1.47727,2.31348,0.48942,0.685,0.4909,0.18532,1.76524,2.93073,2.71241,0.009604,0.009604,0.009604
22,235.65,1.75869,1.38095,2.31277,0.92146,0.495,0.61052,0.2859,2.00379,1.70056,2.88232,0.0095842,0.0095842,0.0095842
23,245.867,1.8219,1.47813,2.39517,0.41857,0.69295,0.68847,0.32035,1.59683,1.61367,2.65456,0.0095644,0.0095644,0.0095644
24,256.258,1.7935,1.38823,2.31867,0.63149,0.785,0.71021,0.36189,1.73675,1.36408,2.73979,0.0095446,0.0095446,0.0095446
25,267.42,1.77543,1.36602,2.29795,0.80647,0.65152,0.71808,0.3587,1.64034,1.98228,2.70182,0.0095248,0.0095248,0.0095248
26,278.036,1.67224,1.34128,2.22877,0.42986,0.65246,0.59354,0.25332,1.95534,2.10549,2.85966,0.009505,0.009505,0.009505
27,288.432,1.6522,1.2732,2.19291,0.63779,0.67524,0.73873,0.38866,1.57621,1.58273,2.46968,0.0094852,0.0094852,0.0094852
28,299.379,1.64007,1.29347,2.22401,0.6415,0.74215,0.75736,0.44246,1.47315,1.26681,2.4945,0.0094654,0.0094654,0.0094654
29,310.821,1.58106,1.20594,2.15762,0.72297,0.76817,0.80729,0.42443,1.72124,1.31568,2.70381,0.0094456,0.0094456,0.0094456
30,321.05,1.55727,1.17182,2.11876,0.71959,0.77,0.76363,0.33096,1.87368,1.68332,2.87671,0.0094258,0.0094258,0.0094258
31,331.296,1.56448,1.1508,2.12853,0.65277,0.68,0.6795,0.26558,2.00933,1.69748,3.09462,0.009406,0.009406,0.009406
