epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99489,2.00345,3.21158,2.5172,0.00485,0.005,0.00245,0.00074,4.09317,4.29832,23.8608,0.0784,0.0024,0.0024
2,6.2391,1.6979,1.93593,2.31785,0,0,0,0,nan,nan,nan,0.0558903,0.0048903,0.0048903
3,8.7117,1.68476,1.75204,2.31332,0,0,0,0,nan,nan,nan,0.0333707,0.0073707,0.0073707
4,11.0709,1.57581,1.48027,2.16863,0,0,0,0,4.53319,10.7344,20.4122,0.0108412,0.00984119,0.00984119
5,13.4116,1.42978,1.3034,2.02577,7e-05,0.01,2e-05,1e-05,4.93573,237.681,24.4088,0.0099208,0.0099208,0.0099208
6,15.7245,1.41314,1.29611,1.99343,0.01684,0.155,0.00767,0.00127,4.33185,7.43594,7.25279,0.009901,0.009901,0.009901
7,18.1285,1.35385,1.16575,1.91396,0.03528,0.215,0.03676,0.01248,2.61987,20.5899,4.5967,0.0098812,0.0098812,0.0098812
8,20.4884,1.26223,1.09246,1.84247,0.19227,0.38,0.15305,0.05693,2.32046,4.07753,3.92262,0.0098614,0.0098614,0.0098614
9,22.8191,1.24717,1.05796,1.80666,0.24088,0.25533,0.16865,0.06476,2.33846,7.49742,3.83864,0.0098416,0.0098416,0.0098416
10,25.1352,1.18838,1.0052,1.80305,0.64276,0.77,0.7728,0.38956,1.65964,1.70241,2.45083,0.0098218,0.0098218,0.0098218
11,27.5504,1.16748,0.93172,1.72013,0.72847,0.825,0.88077,0.46084,1.56213,1.09703,2.49348,0.009802,0.009802,0.009802
12,29.8867,1.13311,0.88129,1.6933,0.60146,0.765,0.7044,0.36466,1.75882,1.84727,2.70039,0.0097822,0.0097822,0.0097822
13,32.198,1.11147,0.88763,1.69724,0.77527,0.785,0.91317,0.5381,1.37988,1.09207,2.25314,0.0097624,0.0097624,0.0097624
14,34.5311,1.08752,0.86583,1.64284,0.70921,0.75,0.73622,0.34107,1.88623,1.5858,2.63602,0.0097426,0.0097426,0.0097426
15,36.9356,1.13013,0.86839,1.67138,0.70377,0.76719,0.84018,0.43918,1.38105,1.18954,2.12283,0.0097228,0.0097228,0.0097228
16,39.2592,1.14315,0.88739,1.69683,0.80812,0.78948,0.89129,0.52253,1.3302,1.05024,2.09255,0.009703,0.009703,0.009703
17,41.5756,1.03783,0.82224,1.58701,0.65757,0.755,0.78812,0.41888,1.47836,1.23751,2.222,0.0096832,0.0096832,0.0096832
18,43.8834,1.08855,0.82275,1.62541,0.76096,0.80601,0.8336,0.48332,1.50421,1.24627,2.30112,0.0096634,0.0096634,0.0096634
19,46.2039,1.0522,0.80144,1.5895,0.09378,0.16507,0.08072,0.0166,3.84697,4.39463,4.17062,0.0096436,0.0096436,0.0096436
20,48.6099,1.06989,0.77439,1.60649,0.51648,0.61,0.56912,0.25763,1.57279,1.83036,2.26268,0.0096238,0.0096238,0.0096238
21,50.912,1.00495,0.77048,1.56078,0.71708,0.235,0.19036,0.05049,2.95384,3.63563,4.38141,0.009604,0.009604,0.009604
22,53.217,1.0482,0.78797,1.59207,0.79542,0.86,0.88232,0.52374,1.31037,1.11929,1.98716,0.0095842,0.0095842,0.0095842
23,55.5226,1.00708,0.75163,1.58026,0.85795,0.92368,0.95195,0.64,1.1374,0.7816,1.83327,0.0095644,0.0095644,0.0095644
24,57.8677,1.00956,0.76031,1.56215,0.87858,0.925,0.95596,0.57021,1.35917,0.81169,2.05902,0.0095446,0.0095446,0.0095446
