epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17698,2.51746,6.09651,2.95933,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,8.8671,2.43409,2.85686,2.91169,0,0,0,0,nan,nan,nan,0.0558903,0.0048903,0.0048903
3,13.2006,2.22246,2.35791,2.78805,0,0,0,0,nan,nan,nan,0.0333707,0.0073707,0.0073707
4,17.3154,2.03606,2.09304,2.63969,0,0,0,0,nan,nan,nan,0.0108412,0.00984119,0.00984119
5,21.5538,1.94986,1.94959,2.57272,0,0,0,0,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,25.7672,1.87427,1.84846,2.49769,0,0,0,0,5.54754,9.84448,8.65736,0.009901,0.009901,0.009901
7,30.1247,1.92497,1.84182,2.48933,0.00189,0.205,0.0014,0.00055,3.74226,13.8448,5.10495,0.0098812,0.0098812,0.0098812
8,34.3058,1.84194,1.58952,2.47352,0.035,0.385,0.03424,0.01202,2.6363,5.776,4.954,0.0098614,0.0098614,0.0098614
9,38.6356,1.77421,1.57737,2.37384,0.01759,0.29096,0.02247,0.00632,2.91414,12.4401,3.72358,0.0098416,0.0098416,0.0098416
10,42.7737,1.68735,1.48102,2.33795,0.03308,0.28,0.02122,0.00689,2.91681,4.21346,3.89598,0.0098218,0.0098218,0.0098218
11,46.8516,1.65564,1.35761,2.22992,0.31803,0.62573,0.30395,0.12705,1.76528,2.87918,2.98609,0.009802,0.009802,0.009802
12,51.0248,1.59303,1.3226,2.19624,0.66068,0.23,0.1485,0.03454,3.22297,3.75962,5.48893,0.0097822,0.0097822,0.0097822
13,55.158,1.63429,1.31135,2.25367,0.58187,0.17,0.05351,0.01111,3.06882,4.89196,5.04222,0.0097624,0.0097624,0.0097624
14,59.2805,1.56444,1.29575,2.1781,0.59156,0.50371,0.52527,0.23415,1.73681,2.08137,2.7726,0.0097426,0.0097426,0.0097426
15,63.4413,1.50886,1.30238,2.13983,0.5804,0.755,0.71458,0.37803,1.53486,1.28168,2.63143,0.0097228,0.0097228,0.0097228
16,67.7939,1.51728,1.20785,2.15763,0.71851,0.19019,0.25167,0.11197,2.12557,3.00572,3.18286,0.009703,0.009703,0.009703
17,71.8818,1.4864,1.19794,2.09574,0.52512,0.65,0.5522,0.23834,1.75107,1.75156,2.90464,0.0096832,0.0096832,0.0096832
18,75.9281,1.47713,1.22641,2.08342,0.56038,0.55359,0.56851,0.28383,1.74108,2.28369,2.98123,0.0096634,0.0096634,0.0096634
19,80.0693,1.45966,1.18263,2.05681,0.58831,0.41584,0.49274,0.20702,1.82134,2.42784,2.88943,0.0096436,0.0096436,0.0096436
20,84.2492,1.41957,1.16192,2.04455,0.71662,0.76886,0.78417,0.40824,1.75308,1.26816,2.87108,0.0096238,0.0096238,0.0096238
21,88.529,1.36681,1.05507,1.97789,0.86215,0.81,0.89445,0.49809,1.48359,1.16047,2.58412,0.009604,0.009604,0.009604
22,92.9411,1.4191,1.06903,2.01474,0.62944,0.54,0.57013,0.25858,2.17589,1.69916,3.23038,0.0095842,0.0095842,0.0095842
23,97.0629,1.40103,1.06688,2.01981,0.84842,0.81572,0.88158,0.4329,1.76708,1.13833,2.81889,0.0095644,0.0095644,0.0095644
24,101.187,1.39021,1.06521,1.99195,0.63306,0.765,0.74521,0.38569,1.77011,1.40844,2.98472,0.0095446,0.0095446,0.0095446
25,105.238,1.33659,1.01097,1.94414,0.77301,0.835,0.86656,0.47719,1.52767,1.18619,2.55074,0.0095248,0.0095248,0.0095248
26,109.306,1.28512,0.96974,1.89923,0.74342,0.77706,0.85483,0.46431,1.50508,1.22437,2.56385,0.009505,0.009505,0.009505
27,113.399,1.2503,0.94088,1.8712,0.77659,0.72877,0.88874,0.53579,1.39765,1.117,2.6109,0.0094852,0.0094852,0.0094852
28,117.885,1.28866,0.96145,1.90816,0.93246,0.43927,0.62698,0.33248,1.75677,1.76818,2.83583,0.0094654,0.0094654,0.0094654
29,121.927,1.29265,0.92311,1.90651,0.86351,0.85,0.90771,0.54439,1.29122,0.99343,2.47884,0.0094456,0.0094456,0.0094456
30,126.211,1.24707,0.92485,1.86215,0.57878,0.66074,0.65316,0.26885,2.07452,1.62525,3.23114,0.0094258,0.0094258,0.0094258
31,130.226,1.30809,0.9675,1.91001,0.31858,0.49,0.18617,0.0739,2.40156,3.29874,3.74866,0.009406,0.009406,0.009406
32,134.255,1.29012,0.92793,1.88386,0.89535,0.905,0.95096,0.56686,1.27983,0.93028,2.39204,0.0093862,0.0093862,0.0093862
33,138.546,1.2397,0.90965,1.84745,0.90539,0.85609,0.93815,0.42298,1.80602,1.0134,2.93466,0.0093664,0.0093664,0.0093664
34,142.58,1.21359,0.85499,1.80909,0.10351,0.465,0.12172,0.03556,2.68528,4.46114,4.29046,0.0093466,0.0093466,0.0093466
35,146.633,1.24823,0.90428,1.85014,0.59148,0.27465,0.31779,0.13465,2.19776,3.31644,3.4849,0.0093268,0.0093268,0.0093268
36,150.803,1.20541,0.85333,1.79887,0.5509,0.80812,0.85099,0.36479,1.92006,1.58575,3.10201,0.009307,0.009307,0.009307
37,154.99,1.20892,0.87841,1.84439,0.12028,0.165,0.0723,0.03681,2.12432,4.58331,3.55082,0.0092872,0.0092872,0.0092872
38,159.16,1.21892,0.86613,1.84034,0.51798,0.41274,0.4558,0.17191,2.14856,2.32974,3.63273,0.0092674,0.0092674,0.0092674
39,163.321,1.21024,0.88236,1.82148,0.87806,0.84457,0.92932,0.49986,1.58329,0.96219,2.94431,0.0092476,0.0092476,0.0092476
40,167.416,1.20496,0.86196,1.81936,0.88551,0.93215,0.95194,0.59159,1.21245,0.86379,2.31003,0.0092278,0.0092278,0.0092278
41,171.885,1.20759,0.87863,1.85026,0.84463,0.87,0.88931,0.60457,1.22914,0.87878,2.35827,0.009208,0.009208,0.009208
42,176.446,1.18065,0.8555,1.77634,0.8641,0.91,0.96088,0.59712,1.3435,0.84066,2.44573,0.0091882,0.0091882,0.0091882
43,180.904,1.18477,0.82362,1.78609,0.88609,0.79997,0.93065,0.57634,1.26123,0.95275,2.3805,0.0091684,0.0091684,0.0091684
44,185.111,1.16674,0.84981,1.78788,0.55826,0.605,0.61859,0.31518,1.69998,2.29246,2.85262,0.0091486,0.0091486,0.0091486
45,189.221,1.14141,0.81275,1.75802,0.80542,0.85,0.88642,0.49656,1.57232,0.95416,2.71576,0.0091288,0.0091288,0.0091288
46,193.392,1.0871,0.74556,1.70988,0.84533,0.86,0.8987,0.54444,1.40555,0.84852,2.41171,0.009109,0.009109,0.009109
47,197.517,1.13594,0.77503,1.75816,0.91909,0.92,0.9655,0.62469,1.15909,0.77407,2.22604,0.0090892,0.0090892,0.0090892
48,202.091,1.15538,0.81663,1.76198,0.25425,0.255,0.20622,0.09014,2.46882,3.11831,3.60937,0.0090694,0.0090694,0.0090694
