epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.9628,2.79646,7.02544,3.17392,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,16.3324,2.98714,3.36492,3.30771,0,0,0,0,nan,nan,nan,0.0558903,0.0048903,0.0048903
3,24.8833,2.80669,3.06381,3.19575,0,0,0,0,nan,nan,nan,0.0333707,0.0073707,0.0073707
4,33.0504,2.73657,2.814,3.05487,0,0,0,0,nan,nan,nan,0.0108412,0.00984119,0.00984119
5,41.7084,2.64963,2.65857,3.0054,0,0,0,0,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,50.1666,2.58635,2.53261,2.91697,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
7,58.7598,2.51683,2.48519,2.90041,0.01341,0.205,0.00634,0.00179,2.84339,inf,3.94501,0.0098812,0.0098812,0.0098812
8,67.2954,2.41731,2.3499,2.85961,0.00069,0.055,0.00038,7e-05,5.12419,277.914,63.2244,0.0098614,0.0098614,0.0098614
9,75.2898,2.38467,2.19522,2.79462,0.25481,0.78597,0.35227,0.13146,2.00637,1.85828,2.86326,0.0098416,0.0098416,0.0098416
10,83.8923,2.23989,2.10427,2.80253,0.30014,0.485,0.27261,0.07747,2.63057,2.29835,3.48886,0.0098218,0.0098218,0.0098218
11,92.017,2.20844,2.05944,2.73797,0.4892,0.515,0.4547,0.15373,2.47283,2.14512,3.36653,0.009802,0.009802,0.009802
12,100.677,2.16045,1.95522,2.65494,0.89514,0.375,0.49968,0.21113,2.11368,2.03507,2.91204,0.0097822,0.0097822,0.0097822
13,109.371,2.10385,1.88078,2.61272,0.14237,0.23,0.13638,0.0304,2.39229,6.20931,3.09594,0.0097624,0.0097624,0.0097624
14,117.513,2.02752,1.78682,2.56508,0.42307,0.47,0.5197,0.19124,2.28283,1.90868,3.6177,0.0097426,0.0097426,0.0097426
15,125.668,1.9775,1.72499,2.51493,0.84874,0.44,0.42259,0.18462,2.05324,5.4574,3.18671,0.0097228,0.0097228,0.0097228
16,133.83,1.90409,1.66818,2.45269,0.10885,0.68,0.13987,0.05717,1.95483,3.08665,2.90497,0.009703,0.009703,0.009703
17,141.935,1.8768,1.56536,2.43601,0.8609,0.43,0.45011,0.14867,2.30801,3.40332,3.46731,0.0096832,0.0096832,0.0096832
18,150.078,1.8947,1.53949,2.42571,0.86508,0.41,0.5378,0.19083,1.96657,2.02201,2.97932,0.0096634,0.0096634,0.0096634
19,158.276,1.87066,1.50889,2.37412,0.27031,0.675,0.45084,0.12468,2.20744,2.86934,3.0968,0.0096436,0.0096436,0.0096436
20,166.46,1.85222,1.43468,2.3551,0.92645,0.47,0.62787,0.28598,1.89654,1.68994,2.78339,0.0096238,0.0096238,0.0096238
21,175.172,1.7774,1.37295,2.29174,0.88307,0.42,0.58284,0.23135,2.06476,1.93709,3.02751,0.009604,0.009604,0.009604
22,183.327,1.74831,1.37775,2.27764,0.61867,0.585,0.63688,0.32584,1.67846,1.60218,2.70771,0.0095842,0.0095842,0.0095842
23,191.933,1.72543,1.35814,2.2706,0.56101,0.76,0.71773,0.33824,1.6491,1.34068,2.56982,0.0095644,0.0095644,0.0095644
24,200.727,1.67089,1.30928,2.19809,0.41855,0.74,0.54806,0.29155,1.63698,2.64475,2.56516,0.0095446,0.0095446,0.0095446
25,208.867,1.64494,1.29076,2.1664,0.52227,0.725,0.61691,0.31204,1.80703,1.54533,2.68181,0.0095248,0.0095248,0.0095248
26,216.899,1.63128,1.26159,2.15148,0.69391,0.70977,0.75924,0.36676,1.68524,1.19184,2.58425,0.009505,0.009505,0.009505
27,225.687,1.58231,1.23147,2.10983,0.79338,0.76,0.82374,0.37408,1.78508,1.11735,2.63507,0.0094852,0.0094852,0.0094852
28,234.295,1.63502,1.19615,2.16295,0.71522,0.785,0.86459,0.44786,1.5689,1.01824,2.41816,0.0094654,0.0094654,0.0094654
29,243.041,1.60372,1.23398,2.10075,0.79367,0.845,0.88235,0.45966,1.62713,1.04282,2.53371,0.0094456,0.0094456,0.0094456
30,251.707,1.60361,1.20559,2.11919,0.71809,0.755,0.80442,0.36091,1.79541,1.63627,2.60306,0.0094258,0.0094258,0.0094258
31,259.799,1.59524,1.20894,2.09829,0.82587,0.88116,0.90174,0.46349,1.56128,1.04824,2.42998,0.009406,0.009406,0.009406
32,268.476,1.56437,1.12137,2.07055,0.85533,0.875,0.90188,0.48818,1.5387,0.95171,2.36927,0.0093862,0.0093862,0.0093862
33,277.185,1.53812,1.11627,2.03208,0.93047,0.85,0.92077,0.54172,1.36152,0.92816,2.19566,0.0093664,0.0093664,0.0093664
34,285.903,1.50204,1.08212,2.01149,0.85098,0.76,0.80014,0.30076,2.09788,1.23521,2.9179,0.0093466,0.0093466,0.0093466
35,294.052,1.56149,1.11948,2.05543,0.8208,0.8329,0.88621,0.48184,1.48448,1.00398,2.47906,0.0093268,0.0093268,0.0093268
36,302.216,1.5002,1.09123,2.00091,0.91103,0.90008,0.93167,0.48364,1.57869,0.93458,2.35632,0.009307,0.009307,0.009307
