epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18416,2.71647,7.8779,3.19067,0,0,0,0,nan,nan,nan,0.0784,0.0024,0.0024
2,18.5326,2.82437,3.59428,3.37508,0,0,0,0,nan,nan,nan,0.0558903,0.0048903,0.0048903
3,27.5007,2.64292,3.18665,3.15812,0,0,0,0,nan,nan,nan,0.0333707,0.0073707,0.0073707
4,36.3901,2.59689,2.99341,3.05493,0,0,0,0,nan,nan,nan,0.0108412,0.00984119,0.00984119
5,45.3839,2.55022,2.72213,2.97483,0,0,0,0,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,54.3345,2.4839,2.49114,2.91742,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
7,63.3585,2.46331,2.36829,2.8568,0.01122,0.06,0.00449,0.00077,3.53017,5.14264,8.85698,0.0098812,0.0098812,0.0098812
8,72.1993,2.34777,2.22722,2.82454,0.00146,0.12,0.0009,0.00015,3.70738,4.66361,5.35665,0.0098614,0.0098614,0.0098614
9,80.835,2.32105,2.13881,2.78234,0.00238,0.18,0.00162,0.00032,3.50078,19.0278,4.75788,0.0098416,0.0098416,0.0098416
10,89.4693,2.25128,2.07188,2.76957,0.01725,0.225,0.01671,0.00486,2.6708,11.1792,3.92829,0.0098218,0.0098218,0.0098218
11,98.2931,2.26621,2.00874,2.75366,0.08231,0.135,0.05462,0.02093,2.19194,7.85906,3.13828,0.009802,0.009802,0.009802
12,107.262,2.08919,1.88224,2.6345,0.56084,0.16,0.04025,0.00876,3.60887,4.32683,4.65038,0.0097822,0.0097822,0.0097822
13,115.928,2.05026,1.79351,2.597,0.41718,0.53,0.46926,0.22703,1.91119,2.0962,3.0161,0.0097624,0.0097624,0.0097624
14,124.91,1.98061,1.67818,2.53394,0.30535,0.5897,0.35988,0.14504,1.94911,2.75135,3.3443,0.0097426,0.0097426,0.0097426
15,133.532,1.91893,1.72183,2.4909,0.22756,0.645,0.25744,0.09511,2.3576,4.85676,3.54943,0.0097228,0.0097228,0.0097228
16,142.196,1.96109,1.71728,2.50928,0.29632,0.59,0.27845,0.10006,2.1986,4.66163,3.51498,0.009703,0.009703,0.009703
17,150.782,1.94581,1.59835,2.46696,0.41085,0.805,0.68249,0.2563,1.92705,1.6398,3.02736,0.0096832,0.0096832,0.0096832
18,159.681,1.83373,1.53022,2.39287,0.38025,0.735,0.48889,0.19372,1.83442,1.80308,2.83042,0.0096634,0.0096634,0.0096634
19,168.349,1.84545,1.44172,2.39682,0.43224,0.495,0.45974,0.21536,1.92132,2.62065,3.01119,0.0096436,0.0096436,0.0096436
20,176.984,1.77316,1.38907,2.35036,0.48058,0.795,0.59241,0.22103,1.79346,2.1896,2.83363,0.0096238,0.0096238,0.0096238
21,185.701,1.73938,1.33149,2.29828,0.63125,0.7311,0.67574,0.30009,1.85322,1.47458,2.85017,0.009604,0.009604,0.009604
22,194.605,1.70084,1.36707,2.27691,0.47735,0.66871,0.65742,0.28411,1.70803,2.23947,2.74176,0.0095842,0.0095842,0.0095842
23,203.277,1.62984,1.28427,2.22723,0.5695,0.78,0.66865,0.35027,1.40299,1.81413,2.54583,0.0095644,0.0095644,0.0095644
24,212.208,1.64323,1.22372,2.2073,0.57482,0.77,0.67236,0.35629,1.62284,2.4847,2.63632,0.0095446,0.0095446,0.0095446
25,221.212,1.59823,1.19993,2.17326,0.71811,0.755,0.79904,0.38767,1.62083,1.63904,2.67863,0.0095248,0.0095248,0.0095248
26,230.127,1.57125,1.16241,2.15657,0.60893,0.725,0.7838,0.40011,1.72055,1.57366,2.79328,0.009505,0.009505,0.009505
