epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1365,2.58156,3.87422,3.16074,0.02246,0.06176,0.00941,0.00238,2.73151,nan,3.87996,0.0701124,0.00332085,0.00332085
2,82.1045,2.50381,3.68419,3.14566,0.0391,0.09706,0.02346,0.00956,3.13508,nan,4.25813,0.0400992,0.00664101,0.00664101
3,122.097,2.49,3.73384,3.06691,0.04762,0.00588,0.02401,0.00959,3.09572,5.49118,3.81653,0.0100728,0.00994797,0.00994797
4,162.419,2.42659,3.59524,3.03956,0.01746,0.17647,0.01857,0.00621,2.73895,5.34316,3.62108,0.0099406,0.0099406,0.0099406
5,202.348,2.41542,3.56974,3.02828,0.05999,0.13235,0.04125,0.011,2.46912,3.61524,3.21485,0.0099208,0.0099208,0.0099208
6,242.767,2.3544,3.50661,2.97778,0.03974,0.12647,0.03561,0.01204,2.92904,4.56778,3.7532,0.009901,0.009901,0.009901
7,283.405,2.3908,3.50535,2.99741,0.04414,0.33235,0.04281,0.01385,2.25672,3.27251,3.08267,0.0098812,0.0098812,0.0098812
8,323.879,2.33414,3.39486,2.95009,0.02737,0.25,0.02311,0.00757,2.32111,3.49535,3.23685,0.0098614,0.0098614,0.0098614
9,364.151,2.32616,3.36678,2.96928,0.03807,0.27059,0.02859,0.01068,2.22882,3.55663,3.13069,0.0098416,0.0098416,0.0098416
10,403.592,2.33168,3.40233,2.94014,0.125,0.02353,0.06886,0.02311,2.70024,4.32525,3.51715,0.0098218,0.0098218,0.0098218
11,444.121,2.29847,3.36087,2.94583,0.13934,0.05,0.07604,0.03637,2.47144,4.19798,3.23228,0.009802,0.009802,0.009802
12,484.973,2.29922,3.3149,2.91094,0.05461,0.29412,0.0555,0.02199,2.18736,3.17881,3.05476,0.0097822,0.0097822,0.0097822
13,525.133,2.26817,3.34081,2.92455,0.11744,0.09412,0.05145,0.01624,2.31874,3.38787,3.21993,0.0097624,0.0097624,0.0097624
14,564.971,2.2673,3.29382,2.86175,0.04686,0.25,0.05133,0.0196,2.34088,3.43529,3.19786,0.0097426,0.0097426,0.0097426
15,604.625,2.27953,3.2927,2.91775,0.01531,0.00882,0.0081,0.00133,3.65445,3.89131,7.37437,0.0097228,0.0097228,0.0097228
16,644.107,2.26533,3.25025,2.89849,0,0,0,0,2.37156,3.84376,3.18832,0.009703,0.009703,0.009703
17,683.798,2.24014,3.22589,2.89953,0.10909,0.10588,0.07256,0.02341,2.51245,3.82705,3.36982,0.0096832,0.0096832,0.0096832
18,723.983,2.26996,3.27394,2.93936,0.10994,0.14118,0.05007,0.01757,2.18595,3.29699,3.05737,0.0096634,0.0096634,0.0096634
19,764.041,2.25667,3.22914,2.90245,0.03377,0.28824,0.04869,0.01944,2.44199,3.59893,3.26353,0.0096436,0.0096436,0.0096436
20,804.243,2.25118,3.2134,2.87247,0.1456,0.08824,0.0595,0.01748,2.34461,3.3385,3.14055,0.0096238,0.0096238,0.0096238
21,844.175,2.2393,3.20459,2.88847,0.09066,0.2,0.07814,0.02575,2.24468,3.2431,3.12116,0.009604,0.009604,0.009604
22,884.337,2.25105,3.16118,2.87699,0.10255,0.16176,0.06665,0.02754,2.18343,4.87006,3.02968,0.0095842,0.0095842,0.0095842
23,924.416,2.23455,3.12862,2.8773,0.06829,0.09118,0.03255,0.0116,2.34746,3.80508,3.1936,0.0095644,0.0095644,0.0095644
24,964.524,2.24209,3.18049,2.90341,0.15321,0.13529,0.07411,0.02943,2.31957,3.15488,3.19426,0.0095446,0.0095446,0.0095446
25,1004.11,2.24059,3.15923,2.87436,0.12406,0.09706,0.0927,0.02428,nan,nan,nan,0.0095248,0.0095248,0.0095248
26,1043.94,2.19904,3.10642,2.84794,0.06356,0.27647,0.06339,0.02348,2.07229,3.2835,2.9463,0.009505,0.009505,0.009505
27,1084.08,2.23796,3.14609,2.87124,0.05306,0.32353,0.05698,0.01816,2.15412,3.17882,3.02066,0.0094852,0.0094852,0.0094852
28,1124.25,2.22654,3.05893,2.90094,0.15067,0.16174,0.08949,0.02904,2.13348,3.31519,3.0422,0.0094654,0.0094654,0.0094654
29,1164.01,2.21581,3.07056,2.87036,0.08355,0.18824,0.09014,0.02989,2.25131,3.44321,3.14536,0.0094456,0.0094456,0.0094456
30,1204.09,2.22101,3.09987,2.87292,0.0622,0.34118,0.07898,0.03057,2.14935,3.15295,2.9894,0.0094258,0.0094258,0.0094258
31,1243.93,2.22925,3.10302,2.87015,0.0932,0.14118,0.0714,0.02405,2.30861,3.69258,3.15231,0.009406,0.009406,0.009406
32,1283.53,2.21249,3.0816,2.89429,0,0,0,0,nan,nan,nan,0.0093862,0.0093862,0.0093862
