epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4501,2.54061,3.93102,3.11679,0.02122,0.02353,0.00224,0.00047,4.09348,266.196,13.3538,0.0702239,0.00330846,0.00330846
2,91.6163,2.48956,3.5258,3.1384,0.03398,0.10294,0.00976,0.00322,2.66335,305.532,3.89781,0.040191,0.00660891,0.00660891
3,132.746,2.4988,3.57215,3.11745,0,0,0,0,nan,nan,nan,0.0101251,0.00987637,0.00987637
4,173.833,2.42634,3.55147,3.05619,0.04544,0.07059,0.01555,0.00476,2.52044,4.12849,3.5318,0.0098515,0.0098515,0.0098515
5,215.359,2.38085,3.48406,3.00606,0.08261,0.08529,0.03306,0.01074,2.56618,3.6642,3.38844,0.009802,0.009802,0.009802
6,256.469,2.35984,3.4404,3.01525,0.06207,0.10588,0.04016,0.01346,2.54682,3.7246,3.40035,0.0097525,0.0097525,0.0097525
7,298.069,2.32783,3.33696,2.97328,0.02381,0.02647,0.00863,0.00203,3.19118,5.74579,5.3125,0.009703,0.009703,0.009703
8,339.161,2.32283,3.33548,2.95303,0.11586,0.13824,0.05275,0.01824,2.30952,3.56223,3.21546,0.0096535,0.0096535,0.0096535
9,380.658,2.31355,3.35193,2.9593,0.0675,0.09118,0.02534,0.00683,2.35189,4.66143,3.20359,0.009604,0.009604,0.009604
10,421.036,2.32625,3.25076,2.9411,0.1,0.00294,0.0502,0.02008,nan,nan,nan,0.0095545,0.0095545,0.0095545
11,462.297,2.28208,3.23563,2.91201,0.07008,0.29412,0.07928,0.02496,2.33289,3.40935,3.16748,0.009505,0.009505,0.009505
12,503.753,2.28906,3.19937,2.91285,0.07765,0.09706,0.04294,0.01473,2.31324,7.49604,3.24896,0.0094555,0.0094555,0.0094555
13,544.434,2.26457,3.15998,2.90261,0.07215,0.18824,0.06521,0.0243,2.52609,3.49736,3.3043,0.009406,0.009406,0.009406
14,584.925,2.28192,3.15529,2.88309,0.03865,0.02353,0.02032,0.00657,2.85059,4.57934,3.51534,0.0093565,0.0093565,0.0093565
15,625.83,2.26071,3.11633,2.8898,0.05354,0.31765,0.05959,0.02127,2.36636,3.38946,3.19956,0.009307,0.009307,0.009307
16,667.014,2.24841,3.09807,2.86662,0.20471,0.13529,0.09521,0.03451,2.23431,3.20308,3.08987,0.0092575,0.0092575,0.0092575
