epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3445,2.65358,4.44488,2.47407,0.00032,0.00282,4e-05,1e-05,nan,nan,nan,0.0702239,0.00330846,0.00330846
2,92.7295,2.57656,3.99186,2.47509,0,0,0,0,nan,nan,nan,0.0402107,0.00662864,0.00662864
3,131.526,2.53687,3.87657,2.39557,0.00067,0.20621,0.00073,0.0002,3.38219,4.91985,7.74553,0.0101844,0.00993562,0.00993562
4,171.901,2.44577,3.79938,2.40543,0.00024,0.21469,0.00041,9e-05,3.85984,8.71629,3.63376,0.0099406,0.0099406,0.0099406
5,210.561,2.38185,3.7088,2.32588,0.00224,0.17514,0.00815,0.00364,3.42549,5.05189,3.6294,0.0099208,0.0099208,0.0099208
6,249.542,2.34051,3.6677,2.25716,0.01333,0.00565,0.00679,0.00374,3.57856,6.52845,3.29308,0.009901,0.009901,0.009901
7,288.281,2.31675,3.64516,2.24836,0.00201,0.22599,0.00211,0.00071,2.97752,4.70238,3.01428,0.0098812,0.0098812,0.0098812
8,327.042,2.25789,3.6216,2.16444,0.00281,0.4887,0.00751,0.00256,2.46203,3.99939,2.5736,0.0098614,0.0098614,0.0098614
9,365.65,2.1995,3.54755,2.16104,0.00405,0.24859,0.00561,0.00205,2.97725,4.78033,3.07718,0.0098416,0.0098416,0.0098416
10,404.364,2.222,3.55667,2.14334,0.00281,0.40113,0.00541,0.00204,2.71126,4.25866,2.67588,0.0098218,0.0098218,0.0098218
11,443.014,2.20795,3.49608,2.11312,0.00261,0.11864,0.0076,0.00295,2.96866,5.69498,2.97371,0.009802,0.009802,0.009802
12,481.893,2.17849,3.47959,2.05686,0.04406,0.06497,0.01437,0.00611,2.40942,nan,2.50146,0.0097822,0.0097822,0.0097822
13,521.067,2.17124,3.48591,2.07033,0.00281,0.26271,0.00284,0.00098,2.6546,4.84239,2.67989,0.0097624,0.0097624,0.0097624
14,559.85,2.15252,3.47846,2.04453,0.00109,0.58192,0.00138,0.00066,nan,nan,nan,0.0097426,0.0097426,0.0097426
15,598.638,2.12052,3.45208,2.01439,0.00385,0.47175,0.01441,0.0055,2.40968,3.79715,2.37332,0.0097228,0.0097228,0.0097228
16,637.414,2.1434,3.43625,2.04466,0.00539,0.4322,0.02409,0.00858,2.50523,3.97527,2.63063,0.009703,0.009703,0.009703
17,676.709,2.13837,3.42759,2.02854,0.00634,0.15254,0.00785,0.00252,nan,nan,nan,0.0096832,0.0096832,0.0096832
18,715.505,2.11908,3.4172,1.9911,0.00021,0.09322,0.00011,5e-05,nan,nan,nan,0.0096634,0.0096634,0.0096634
19,754.22,2.0959,3.37084,1.99903,0.03907,0.0791,0.01214,0.00393,2.53288,4.04848,2.46517,0.0096436,0.0096436,0.0096436
